,highlights,index,result,type
0,[],song,"{'lyrics_state': 'complete', 'api_path': '/songs/109096', 'url': 'https://genius.com/Radiohead-creep-lyrics', 'path': '/Radiohead-creep-lyrics', 'pyongs_count': 170, 'id': 109096, 'title_with_featured': 'Creep', 'header_image_thumbnail_url': 'https://images.genius.com/7e8ec7d3265b0867ba38e232650f7c82.300x300x1.jpg', 'song_art_image_thumbnail_url': 'https://images.genius.com/542fbb949a17a83a6375e15e39e1253c.300x300x1.jpg', 'primary_artist': {'url': 'https://genius.com/artists/Radiohead', 'header_image_url': 'https://images.genius.com/ee4e7ff6b66c73e504d8bce93a39eb30.660x371x1.jpg', 'name': 'Radiohead', 'image_url': 'https://images.genius.com/6bcb8629b9b0f55c549d748bdcbca61c.372x372x1.jpg', 'is_verified': False, 'api_path': '/artists/604', 'is_meme_verified': False, 'id': 604}, 'title': 'Creep', 'lyrics_owner_id': 116340, 'header_image_url': 'https://images.genius.com/7e8ec7d3265b0867ba38e232650f7c82.1000x1000x1.jpg', 'stats': {'pageviews': 738046, 'unreviewed_annotations': 1, 'concurrents': 3, 'hot': False}, 'annotation_count': 8, 'full_title': 'Creep by\xa0Radiohead'}",song
1,[],song,"{'lyrics_state': 'complete', 'api_path': '/songs/3562851', 'url': 'https://genius.com/Lil-skies-creeping-lyrics', 'path': '/Lil-skies-creeping-lyrics', 'pyongs_count': 24, 'id': 3562851, 'title_with_featured': 'Creeping (Ft.\xa0Rich\xa0the Kid)', 'header_image_thumbnail_url': 'https://images.genius.com/724eff6c71005d7c3fb8926da502501a.300x300x1.jpg', 'song_art_image_thumbnail_url': 'https://images.genius.com/724eff6c71005d7c3fb8926da502501a.300x300x1.jpg', 'primary_artist': {'iq': 2392, 'url': 'https://genius.com/artists/Lil-skies', 'header_image_url': 'https://images.genius.com/27ea853e6a258e38268b16ff719e4246.1000x999x1.jpg', 'name': 'Lil Skies', 'image_url': 'https://images.genius.com/69eee639bab29343a04455251289a151.1000x1000x1.jpg', 'is_verified': True, 'api_path': '/artists/1015007', 'is_meme_verified': False, 'id': 1015007}, 'title': 'Creeping', 'lyrics_owner_id': 3113626, 'header_image_url': 'https://images.genius.com/724eff6c71005d7c3fb8926da502501a.500x500x1.jpg', 'stats': {'pageviews': 310070, 'unreviewed_annotations': 1, 'concurrents': 3, 'hot': False}, 'annotation_count': 9, 'full_title': 'Creeping by\xa0Lil\xa0Skies (Ft.\xa0Rich\xa0the Kid)'}",song
2,[],song,"{'lyrics_state': 'complete', 'api_path': '/songs/76917', 'url': 'https://genius.com/Kid-cudi-creepers-lyrics', 'path': '/Kid-cudi-creepers-lyrics', 'pyongs_count': 41, 'id': 76917, 'title_with_featured': 'Creepers', 'header_image_thumbnail_url': 'https://images.genius.com/8a79002727bdfaa640f2440d14e3353f.300x300x1.jpg', 'song_art_image_thumbnail_url': 'https://images.genius.com/8a79002727bdfaa640f2440d14e3353f.300x300x1.jpg', 'primary_artist': {'iq': 243, 'url': 'https://genius.com/artists/Kid-cudi', 'header_image_url': 'https://images.genius.com/7f6ecfae5e5c0023ca686116cca96993.990x660x1.jpg', 'name': 'Kid Cudi', 'image_url': 'https://images.genius.com/57fc91d7548f4e591a971ea7f5443a88.355x355x1.jpg', 'is_verified': True, 'api_path': '/artists/68', 'is_meme_verified': True, 'id': 68}, 'title': 'Creepers', 'lyrics_owner_id': 118452, 'header_image_url': 'https://images.genius.com/8a79002727bdfaa640f2440d14e3353f.1000x1000x1.jpg', 'stats': {'pageviews': 283205, 'unreviewed_annotations': 2, 'hot': False}, 'annotation_count': 20, 'full_title': 'Creepers by\xa0Kid\xa0Cudi'}",song
3,[],song,"{'lyrics_state': 'complete', 'api_path': '/songs/3912216', 'url': 'https://genius.com/Gashi-creep-on-me-lyrics', 'path': '/Gashi-creep-on-me-lyrics', 'pyongs_count': 7, 'id': 3912216, 'title_with_featured': 'Creep On Me (Ft.\xa0DJ\xa0Snake & French\xa0Montana)', 'header_image_thumbnail_url': 'https://images.genius.com/0d119cc2fa4cbfefd29110c326f5defd.300x300x1.jpg', 'song_art_image_thumbnail_url': 'https://images.genius.com/0d119cc2fa4cbfefd29110c326f5defd.300x300x1.jpg', 'primary_artist': {'iq': 2049, 'url': 'https://genius.com/artists/Gashi', 'header_image_url': 'https://images.genius.com/03bb949b777f8164bc194c28bd9c70a7.480x480x1.jpg', 'name': 'GASHI', 'image_url': 'https://images.genius.com/492ef18ab7fc45dc739ec15c3d36c961.480x480x1.jpg', 'is_verified': True, 'api_path': '/artists/62375', 'is_meme_verified': False, 'id': 62375}, 'title': 'Creep On Me', 'lyrics_owner_id': 3489629, 'header_image_url': 'https://images.genius.com/0d119cc2fa4cbfefd29110c326f5defd.1000x1000x1.jpg', 'stats': {'pageviews': 164841, 'unreviewed_annotations': 0, 'hot': False}, 'annotation_count': 9, 'full_title': 'Creep On Me by\xa0GASHI (Ft.\xa0DJ\xa0Snake & French\xa0Montana)'}",song
4,[],song,"{'lyrics_state': 'complete', 'api_path': '/songs/45596', 'url': 'https://genius.com/Tlc-creep-lyrics', 'path': '/Tlc-creep-lyrics', 'pyongs_count': 21, 'id': 45596, 'title_with_featured': 'Creep', 'header_image_thumbnail_url': 'https://images.genius.com/012b6c2e21a3fba70d326fccbce0924f.300x300x1.jpg', 'song_art_image_thumbnail_url': 'https://images.genius.com/012b6c2e21a3fba70d326fccbce0924f.300x300x1.jpg', 'primary_artist': {'url': 'https://genius.com/artists/Tlc', 'header_image_url': 'https://images.genius.com/0a25c93057783e53177e67e7820f768f.674x256x1.jpg', 'name': 'TLC', 'image_url': 'https://images.genius.com/f8658fe1ebdfb21179fbfc7b9344d204.736x736x1.jpg', 'is_verified': False, 'api_path': '/artists/964', 'is_meme_verified': False, 'id': 964}, 'title': 'Creep', 'lyrics_owner_id': 50, 'header_image_url': 'https://images.genius.com/012b6c2e21a3fba70d326fccbce0924f.1000x1000x1.jpg', 'stats': {'pageviews': 121776, 'unreviewed_annotations': 0, 'hot': False}, 'annotation_count': 4, 'full_title': 'Creep by\xa0TLC'}",song
5,[],song,"{'lyrics_state': 'complete', 'api_path': '/songs/3187031', 'url': 'https://genius.com/Kizaru-creep-walk-lyrics', 'path': '/Kizaru-creep-walk-lyrics', 'pyongs_count': 4, 'id': 3187031, 'title_with_featured': 'Крип уок (Creep Walk)', 'header_image_thumbnail_url': 'https://images.genius.com/a54943a9161e5dbf844e43fbbb9d8e28.300x300x1.jpg', 'song_art_image_thumbnail_url': 'https://images.genius.com/a54943a9161e5dbf844e43fbbb9d8e28.300x300x1.jpg', 'primary_artist': {'url': 'https://genius.com/artists/Kizaru', 'header_image_url': 'https://images.genius.com/1b16cbb01700500a871e0158108d8040.795x200x1.jpg', 'name': 'Kizaru', 'image_url': 'https://images.genius.com/1bad356009be2bc3c231d9518bb70a2b.768x768x1.jpg', 'is_verified': False, 'api_path': '/artists/566548', 'is_meme_verified': False, 'id': 566548}, 'title': 'Крип уок (Creep Walk)', 'lyrics_owner_id': 4512844, 'header_image_url': 'https://images.genius.com/a54943a9161e5dbf844e43fbbb9d8e28.1000x1000x1.jpg', 'stats': {'pageviews': 53797, 'unreviewed_annotations': 0, 'hot': False}, 'annotation_count': 2, 'full_title': 'Крип уок (Creep Walk) by\xa0Kizaru'}",song
6,[],song,"{'lyrics_state': 'complete', 'api_path': '/songs/149959', 'url': 'https://genius.com/The-shins-caring-is-creepy-lyrics', 'path': '/The-shins-caring-is-creepy-lyrics', 'pyongs_count': 10, 'id': 149959, 'title_with_featured': 'Caring Is Creepy', 'header_image_thumbnail_url': 'https://images.genius.com/ac1c189b9158bba41cb4c1b8717df423.300x300x1.jpg', 'song_art_image_thumbnail_url': 'https://images.genius.com/ac1c189b9158bba41cb4c1b8717df423.300x300x1.jpg', 'primary_artist': {'url': 'https://genius.com/artists/The-shins', 'header_image_url': 'https://images.genius.com/ef73857897119bc4b556a1024ded6877.600x460x1.jpg', 'name': 'The Shins', 'image_url': 'https://images.genius.com/2f41d204d431337785bc57c9d0112daa.460x460x1.jpg', 'is_verified': False, 'api_path': '/artists/18053', 'is_meme_verified': False, 'id': 18053}, 'title': 'Caring Is Creepy', 'lyrics_owner_id': 131, 'header_image_url': 'https://images.genius.com/ac1c189b9158bba41cb4c1b8717df423.1000x1000x1.jpg', 'stats': {'pageviews': 52478, 'unreviewed_annotations': 1, 'hot': False}, 'annotation_count': 10, 'full_title': 'Caring Is Creepy by\xa0The\xa0Shins'}",song
7,[],song,"{'lyrics_state': 'complete', 'api_path': '/songs/215716', 'url': 'https://genius.com/Stone-temple-pilots-creep-lyrics', 'path': '/Stone-temple-pilots-creep-lyrics', 'pyongs_count': 13, 'id': 215716, 'title_with_featured': 'Creep', 'header_image_thumbnail_url': 'https://images.genius.com/907578f92b1f795251a5732475f09a33.300x300x1.png', 'song_art_image_thumbnail_url': 'https://images.genius.com/907578f92b1f795251a5732475f09a33.300x300x1.png', 'primary_artist': {'iq': 306, 'url': 'https://genius.com/artists/Stone-temple-pilots', 'header_image_url': 'https://images.genius.com/6fc071aa7d58bee5fbdc6699e2660f76.1000x153x1.png', 'name': 'Stone Temple Pilots', 'image_url': 'https://images.genius.com/ca0bafd654ad58ad34720ee8a13d88a6.1000x1000x1.jpg', 'is_verified': True, 'api_path': '/artists/32087', 'is_meme_verified': False, 'id': 32087}, 'title': 'Creep', 'lyrics_owner_id': 23352, 'header_image_url': 'https://images.genius.com/907578f92b1f795251a5732475f09a33.600x600x1.png', 'stats': {'pageviews': 42705, 'unreviewed_annotations': 0, 'hot': False}, 'annotation_count': 2, 'full_title': 'Creep by\xa0Stone\xa0Temple Pilots'}",song
8,[],song,"{'lyrics_state': 'complete', 'api_path': '/songs/2383422', 'url': 'https://genius.com/B-smyth-creep-lyrics', 'path': '/B-smyth-creep-lyrics', 'pyongs_count': 1, 'id': 2383422, 'title_with_featured': 'Creep (Ft.\xa0Young\xa0Thug)', 'header_image_thumbnail_url': 'https://images.rapgenius.com/3e8c0205ad341fc23c167d796c4adf57.300x300x1.jpg', 'song_art_image_thumbnail_url': 'https://images.rapgenius.com/3e8c0205ad341fc23c167d796c4adf57.300x300x1.jpg', 'primary_artist': {'iq': 589, 'url': 'https://genius.com/artists/B-smyth', 'header_image_url': 'https://s3.amazonaws.com/rapgenius/b-smyth-crouch-for-blog1.jpg', 'name': 'B. Smyth', 'image_url': 'https://s3.amazonaws.com/rapgenius/b-smyth-crouch-for-blog1.jpg', 'is_verified': True, 'api_path': '/artists/31425', 'is_meme_verified': True, 'id': 31425}, 'title': 'Creep', 'lyrics_owner_id': 498964, 'header_image_url': 'https://images.rapgenius.com/3e8c0205ad341fc23c167d796c4adf57.1000x1000x1.jpg', 'stats': {'pageviews': 31278, 'unreviewed_annotations': 6, 'hot': False}, 'annotation_count': 7, 'full_title': 'Creep by\xa0B.\xa0Smyth (Ft.\xa0Young\xa0Thug)'}",song
9,[],song,"{'lyrics_state': 'complete', 'api_path': '/songs/3870', 'url': 'https://genius.com/The-lonely-island-the-creep-lyrics', 'path': '/The-lonely-island-the-creep-lyrics', 'pyongs_count': 4, 'id': 3870, 'title_with_featured': 'The Creep (Ft.\xa0John\xa0Waters & Nicki\xa0Minaj)', 'header_image_thumbnail_url': 'https://images.genius.com/be9ca1cbdf3312ddd501e952548d28de.300x300x1.jpg', 'song_art_image_thumbnail_url': 'https://images.genius.com/be9ca1cbdf3312ddd501e952548d28de.300x300x1.jpg', 'primary_artist': {'url': 'https://genius.com/artists/The-lonely-island', 'header_image_url': 'https://images.genius.com/81fa61ae32a0c58a609a43f4635b589d.704x261x1.jpg', 'name': 'The Lonely Island', 'image_url': 'https://images.genius.com/9459110b45f6e6bbdfa07d04d7747481.512x512x1.jpg', 'is_verified': False, 'api_path': '/artists/940', 'is_meme_verified': False, 'id': 940}, 'title': 'The Creep', 'lyrics_owner_id': 1587, 'header_image_url': 'https://images.genius.com/be9ca1cbdf3312ddd501e952548d28de.1000x1000x1.jpg', 'stats': {'pageviews': 31129, 'unreviewed_annotations': 4, 'hot': False}, 'annotation_count': 9, 'full_title': 'The Creep by\xa0The\xa0Lonely Island (Ft.\xa0John\xa0Waters & Nicki\xa0Minaj)'}",song
